Category,Question,Answer,Tags
Course Info,How can I order the Oncopathology MCQ course?,You can order the online Oncopathology course here: https://pathologymcq.com/product/neet-ss-dm-oncopathology-course/,#oncopathology #course #ordering
Course Info,What does the FRCPath Part 1 course include?,"The course includes topic-wise notes, test series, previous year questions, mock tests, and high-yield flash cards. It’s fully self-paced and online.","frcpath, course, syllabus"
Course Info,Is FRCPath Part 1 course suitable for MD Pathology students?,"Yes, it's suitable for MD Pathology students preparing for international certifications.","frcpath, MD pathology"
Course Info,Do online courses include both videos and notes?,"Yes, our online courses include video lectures, PDFs, MCQs, and mock exams.","online course, inclusions"
Course Info,What’s included in the NEET SS Oncopathology course?,"It includes 1 year access to video lectures, MCQs, mock exams, and all 5 subject books.","NEET SS, course details"
Course Information,What is the duration of the course?,"The course duration can be 12 months or 18 months, which you can select during the purchase.",Course Duration
Course Information,Are there videos for all topics?,"Yes, there are videos for all topics, including live session discussions.","Videos, Course Content"
Course Information,Is there a q-bank for oncopathology?,"Yes, there is a q-bank for oncopathology NEETSS available on our website, along with PYQs.","Q-Bank, Oncopathology, NEETSS"
Course Information,What is the approach-based course for histopathology and cytology?,"The approach-based course includes slide-based sessions, which are very useful for residents.","Histopathology, Cytology, Course"
Course Information,What topics are covered in the approach-based course?,"The course covers histopathology and cytology slides, with tips and templates for daily reporting.","Histopathology, Cytology, Course"
Course Information,How many slides are discussed in the approach-based course?,"For every chapter, 10-15 slides will be discussed, covering all common lesions.","Course Content, Slide Discussion"
Course Information,Is there any coupon code available for purchasing the course?,"Please use the coupon code ""ONLY40"" for a 40% discount on specific courses.","Discount, Coupon Code"
Course Information,What is the format of the pathology course?,"The pathology course is an online platform with videos, live sessions, and slide discussions.","Online Platform, Course Format"
Course Information,Are there video lectures for oncopathology NEETSS?,"Yes, video lectures for oncopathology NEETSS will be scheduled and can be viewed in case of any missed sessions.","Video Lectures, Oncopathology"
Course Information,How long are the video lectures?,The duration of video lectures depends on the chapter being covered.,"Video Lectures, Duration"
Course Information,Can I report slides after completing the approach-based course?,"Yes, the approach-based course will provide tips and templates that will help you in daily reporting.","Reporting, Skills Enhancement"
Course Information,Is there a specific course for reporting histopathology and cytology slides?,"Yes, there is a dedicated course for reporting histopathology and cytology slides.","Histopathology, Cytology, Reporting"
Course Information,Will I be able to report slides properly after completing the course?,"Yes, the course includes practical tips and templates for proper slide reporting.","Reporting, Skills Enhancement"
Course Information,Are there any sample cases available to review?,"Yes, you can check the sample cases, which include slides, annotations, and answers.","Sample Case, Course Review"
Course Information,How are the video lectures structured?,The video lectures are structured with detailed explanations and slide discussions.,"Video Lectures, Course Structure"
Course Information,How many slides are included in each chapter of the approach-based course?,Each chapter includes 10-15 slides for discussion.,"Slide Discussion, Chapter Content"
Course Information,What are the topics covered in the hematopathology course?,The hematopathology course includes key topics for INI SS preparation and practical learning.,"Hematopathology, Course Content"
Course Information,Is the hematopathology course available on an online platform?,"Yes, the hematopathology course is available online.","Hematopathology, Online Platform"
Course Information,Do you have any coupon codes for the hematopathology course?,"Currently, there are no coupon codes available for the hematopathology course.","Discount, Coupon Code"
Course Information,Can I get feedback on my performance in the course?,"Feedback options are available in the course, and you can provide feedback on sessions for improvements.","Feedback, Course Improvement"
Course Information,Are there any online practice tests?,"Yes, you can access a variety of practice tests and MCQs through our platform.","Practice Tests, MCQs"
Course Information,What is the best course for gaining experience in oncopathology?,The NEET SS DM oncopathology course is highly recommended for gaining experience in the field.,"Oncopathology, Course Recommendation"
Course Information,How can I join the study group?,You can join the study group through the provided WhatsApp link.,"Study Group, Community"
Course Information,Are there any weekend lectures for the course?,"Yes, weekend lectures are scheduled, and you can join the sessions live or access the recordings.","Weekend Lectures, Live Sessions"
Course Information,Are there any free samples available for the course?,"Yes, you can check out free samples of the course content, including slides and videos.","Free Samples, Course Content"
Course Information,How can I access the video of the session I missed?,We will upload the video soon.,"Video, Access"
Course Information,Are more grand tests being uploaded on the Path MCQ app?,"Yes, more grand tests will be uploaded soon.","Tests, Updates"
Course Information,When will new grand tests be uploaded?,"3 grand tests are already available, and 2 more are scheduled. You can check them in the course.","Tests, Schedule"
Course Information,Why is the course locked for me?,"The course expired, but you can renew it using the provided link.","Account, Course Access"
Course Information,How much is the 3-month renewal for the course?,You can choose the 3-month plan from the course page. No coupon code is available for the 3-month plan.,"Pricing, Renewal"
Course Information,How do I update my account to access the course?,You can renew the course or contact us for further assistance.,"Account, Support"
Course Information,"If the exam gets postponed, what will happen to the course?","The course will remain available, and you can continue your studies.","Exam, Course Access"
Course Information,Where can I check the daily MCQ link?,You can access the daily MCQs at the provided link.,"MCQ, Daily Updates"
Course Information,Will the next webinar be uploaded on the app?,"The webinar will not be uploaded, but you can attend it online.","Webinar, Access"
Course Information,How long will I have access to the course after purchase?,The course is typically valid for 1 year from the date of purchase.,"Course, Validity"
Course Information,Can I access all chapters immediately after purchase?,"Yes, all chapters are accessible immediately after purchasing the course.","Course, Access"
Course Information,How much more should I pay to get the hard copy of all the notes?,You can check the separate links for online courses and hard copies.,"Notes, Payment"
Course Information,Is there a sample video for the approach-based course?,"Yes, we can provide sample videos for the approach-based course.","Sample, Course"
Course Information,Does the approach-based course include virtual slides?,"Yes, the course includes virtual slides for practice.","Course, Virtual Slides"
Course Information,How many questions are included per chapter in the Qbank?,"There are more than 150 questions per chapter, excluding grand mocks.","Qbank, Content"
Course Information,Is the course material in hard copy or online?,The course material is available online only. Hard copy is available separately.,"Course, Material, Format"
Course Information,Is there a recall question bank for the NEET-SS exam in Oncopathology?,"Currently, there is no recall question bank available.","NEET-SS, Oncopathology"
Course Information,Can you provide references for the questions in the grand test?,We will include the references for each question soon.,"References, Grand Test"
Course Information,Do you offer a complete course for FRCPath Part 2?,"Yes, we offer a comprehensive FRCPath Part 2 course that includes surgicals, cytology, frozen, OSPE, macro, molecular, mocks, and live discussions.","FRCPath Part 2, course, preparation"
Course Inquiry,Where can I buy the FRCPath course?,You can access and purchase the FRCPath Part 1 course from this link: https://pathologymcq.com/courses/frcpath-part-1-histopathology-course/,"course-link, purchase-info"
Course Instructor Info,Who teaches the FRCPath Part 2 course?,The course is conducted by UK-based pathologists who have cleared FRCPath themselves.,"instructors, faculty"
Course Material,3. Are the notes provided with the course available after the course validity expires?,"Notes, tests, mocks, and flashcards will be accessible until the course validity expires. After that, they won't be available.","Course Material, Access"
Course Material,13. Can you send me the flashcard material related to salivary gland tumors?,"Yes, I will send you the flashcard material on salivary gland tumors.","Course Material, Flashcards"
Course Materials,Can I get a hard copy of the course materials?,"Yes, we offer hard copy materials. Contact us for pricing and discounts.","Hard Copy, Course Materials"
Course Materials,How much will the hard copy of the materials cost?,"Please specify the books you are interested in, and I will provide the price.","Pricing, Hard Copy"
Course Materials,Can you send me the link to purchase the Histopathology and Cytology books?,Here are the links: Histopathology Notes and Cytopathology Notes,"Course Materials, Links"
Course Materials,Are the notes available in soft copy?,"Currently, only hard copies are available for some notes.","Course Materials, Notes"
Course Navigation,Where can I find respiratory pathology content in the course?,It is included under the Oral Cavity section as part of the thoracic content.,"content-location, module-info"
Course Navigation,Where can I find uploaded mock cases?,"Mock cases are available under your course dashboard, organized by topic.","mock, navigation"
Course Navigation,Where is the frozen section session scheduled?,The frozen section class is scheduled for 13th March. Please refer to the latest timetable for confirmation.,"frozen section, schedule"
Course Navigation,"How do I find different sections like quizzes, notes, flashcards?",All components are labeled separately under each topic within the course platform. Please explore each tab.,"course sections, navigation"
Course Navigation,Can you guide me in opening the course materials?,"Sure, click on the topic, then explore the labeled sections like Notes, Lectures, Flashcards, Quizzes. You can also send us a screenshot if you’re stuck.","help, navigation"
Course Preparation,How do I prepare for both FRCPATH part 1 and 2?,"Focus on understanding core concepts, attend live classes, and practice using mock exams.","Exam Prep, FRCPATH"
Course Purchase,How do I buy the NEET SS notes?,You can purchase the NEET SS notes from our online store: pathologymcq.com/shop.,"NEET SS, buy, notes"
Course Purchase,Do you have a book centre I can visit?,We operate fully online and do not have a physical book centre. All purchases and access are through our website.,"offline, physical centre, bookstore"
Course Queries,What happens if I miss a class session?,You can review the session’s video recording and catch up.,"Course, Missed Classes"
Course Relevance,I am preparing for FRCPath. Will this help me?,"Yes, our material is designed to support FRCPath Part 1 preparation. Let us know your focus areas for more relevant resources.","FRCPath, suitability"
Course Renewal,My course access expired. Can I renew?,"Yes, you can renew using the product link. Use coupon ""SPECIAL20"" for a limited-time discount.","renewal, expired access"
Course Renewal,Can I renew the course with a discount?,"Yes, discounts are applicable on course renewal too.","renewal, discount, coupon"
Course Samples,Can I see a sample of the video lectures?,"Yes, you can access sample video lectures via the link provided.","Samples, Course Content"
Course Support,Where can I find new video lectures?,"New video lectures are added under topics like GIT, FGT, liver, lymph nodes, and breast. Please check your enrolled course module.","videos, course update"
Course Support,Where can I join the MCQ discussion group?,Join our MCQ and discussion group via this WhatsApp link.,"discussion, mcq group"
Course Support,Who can I contact if I have technical issues?,You can reach out here on WhatsApp or via email at support@pathologymcq.com.,"support, contact, technical"
Course Topics,Do you provide video lectures on a specific topic?,"Yes, we provide video lectures on various specific topics, including MCQs.","Video Lectures, Specific Topics"
Course Type,What does the “Approach Based Course” include?,"It includes online notes, video lectures, and structured topic-wise approach.","approach course, features"
Course Updates,25. Will you be updating the FRCPATH part 1 Q-bank soon?,"Yes, we are regularly updating the FRCPATH part 1 Q-bank.","Course Updates, FRCPATH"
Course Updates,How will I receive updates about the course?,"Updates will be shared via WhatsApp, email, or the course portal.","Updates, Course"
Course Validity,Till when will the FRCPath Part 2 course recordings be available?,Recordings are available until Spring 2026.,"recordings, validity"
Course Validity,How can I check my course validity?,Please share your registered email ID. We will verify your course validity for you.,"validity, course access, email"
Course Validity,Until when is my access valid?,Your course is valid until 22nd December 2024.,"course access, expiry"
Course Validity,Is there a deadline or expiry for access?,Course access remains valid as long as the program duration lasts. Extensions can be requested if needed.,"access, course validity"
Course Validity,What is the duration of the course?,"The course is available in 3-month, 6-month, and 12-month plans.","course, duration, plan"
Courses & Content,What courses do you offer?,"We offer online and offline courses in Pathology including MCQs, quizzes, and study notes. You can browse them at pathologymcq.com.",#courses #onlinelearning
Courses & Content,Can I see sample notes before purchasing?,"Yes, we can share sample notes. Please let us know which course or book you are interested in.",#samples #notes
Courses & Content,Are hard copy notes available?,"Yes, hard copy notes are available for selected subjects. You can order them from our website.",#hardcopy #notes
Courses & Content,How do I access the quizzes?,Please log into your course dashboard and select quiz mode from the specific chapter or module.,#quizaccess #dashboard
Courses & Content,What is the grading based on gland formation?,"According to WHO 5th Edition, it’s a 2-tier system: Low grade if ?50% gland formation, and high grade if <50%.",#grading #pathology
Custom Deal,"I will buy on April 1st, can you hold the offer?","Yes, I’ve noted your request. Please message me on April 1st and I’ll re-activate the discount for you.","future order, offer hold"
Custom Order,Can I pay via WhatsApp like last time?,"Yes, you can make a direct payment via UPI and send the screenshot here. I’ll confirm your order right after.","direct order, manual payment"
Delivery,How many days does it take to deliver?,Your order will be delivered within 7 working days. We’ll also share tracking details once shipped.,"delivery, shipping"
Delivery,Can you ship it faster? I have exams soon.,We understand your urgency. We’ll try our best to prioritize and dispatch it at the earliest.,"express delivery, urgent"
Delivery & Shipping,How long will it take to receive my hard copy order?,"It will take 8 to 10 days for delivery. Please let us know if you need it urgently, and we will try to expedite it.","Delivery, Hard Copy"
Delivery & Shipping,Can I get a faster delivery option for my order?,"We can try to expedite the delivery, but the earliest possible delivery date will be between 8th to 10th April.","Delivery, Shipping"
Delivery Assurance,Will I get my books before April 14?,"Yes, you will receive your order by 14th April at the latest. We’ll keep you updated with tracking details.","delivery, ETA"
Delivery Estimate,When will I receive the book after payment?,Shipping usually takes 5–7 working days.,"delivery, timeline, shipping"
Delivery Options,Do you provide express shipping?,We do not offer express shipping at the moment.,Shipping
Delivery Timing,When will my books be shipped?,Books will be shipped between the 15th and 20th of the month.,"Shipping, Delivery"
Delivery/Shipping,When will I receive my books?,Your order has been dispatched. You will receive your books within 7–10 working days.,"delivery, books, shipping"
Delivery/Shipping,Which courier service was used?,We will share your tracking details shortly. You can use them to follow up with the courier.,"courier, delivery, tracking"
Device Compatibility,I'm facing issues viewing content on mobile.,"Please try using a desktop or ensure your mobile browser is updated. If the issue persists, let us know.","mobile issue, compatibility"
Device Support,Can I access the course on an iPad?,"Yes, courses are accessible on iPads. If you face issues, try restarting the app or using a different browser.","ipad, device support"
Device Support,I'm logged in on one device. Can I open it on another?,"Yes, but you may need to log out from the first device before accessing it on another.","device limit, session login"
Discount & Coupons,Is there a coupon code for renewing the course?,"Yes, use ""SPECIAL20"" or ""PATHOLOGY20"" for renewal discounts. Contact support if one code is already applied.","coupon, renewal discount"
Discount Code Help,How do I apply a discount code?,"At checkout, enter your discount code in the “Apply Coupon” field.","coupon, apply, checkout"
Discount Eligibility,"I was one of the first 25 buyers, do I still get a discount?","Thank you for your loyalty. Unfortunately, that specific offer has expired. But I’ll provide you with a new exclusive discount as a valued customer.","returning customer, loyalty discount"
Discount Inquiry,Is there any discount available?,"The price listed is already discounted. For additional offers, you may use available discount codes during checkout.",#discount #offer
Discount Inquiry,Is there any discount if I order the whole pack?,"Yes, we currently have an offer. Please visit our website to see the discounted price for the complete pack.","discount, offer, bundle"
Discount/Sale,Is there any discount available currently?,Discounts are announced occasionally. Please check the product page or message us for current offers.,"sale, discount, offers"
Discounts,Is there a coupon code for FRCPath Part 1?,"Yes, please use code ""SPECIAL20"" during checkout for a 20% discount.",#discount #frcpath
Discounts & Coupons,Can I get a discount on the hard copy books?,"Yes, use the coupon code ""SPECIAL20"" for a discount on your order.","Discounts, Coupons"
Discounts & Coupons,Is there any discount available for my purchase?,"You can use the code ""APPROACH10"" for a 10% discount on your purchase.","Discounts, Coupons"
Discounts & Coupons,"Why is the ""20% OFF"" coupon not working for me?","The ""20% OFF"" coupon requires a minimum spend of ?3000. If you are unable to meet that, try using a different coupon.","Discounts, Coupons"
Discounts & Offers,Can I get a coupon code for FRCPath Part 1 course?,"Yes, you can use code PATH10HISTO to avail a discount.","coupon, frcpath"
Discounts & Offers,Are there any renewal discounts available?,"Yes, please use code SPECIAL20 during course renewal for a special discount.","renewal, coupon"
Discounts & Offers,Is there a student discount?,"Yes, we regularly run offers. You can use codes like SPECIAL20 or PATH10HISTO.",#offers #studentdiscount
Discounts & Offers,Are there any current offers?,"Yes, you can use coupon code SPECIAL20 till 31st March. More offers are shared on WhatsApp and website.",#promo #deal
Discounts & Pricing,Is there any discount coupon for purchasing a course for a year?,"Yes. You can use the coupon code ""PATH10HISTO"" for a discount.","discount, coupon, pricing"
Discounts and Offers,Do you have any current offers or discount codes?,"Yes, you can use discount codes like ""SPECIAL30"" for maximum discount on certain products.","Discounts, Promotions"
Downloads,How can I download the notes to avoid last-minute revision?,"Download option is not available. However, a quick revision section is being added for ease of access.","download, revision, notes"
Enrollment,What have I purchased?,Please share your email ID. We will verify your purchase details.,#purchase #verification
Enrollment,How do I enroll in a course?,"Visit the specific course page, click ""Add to Cart"", apply coupon if available, and complete the payment process.","course enrollment, how to join"
Enrollment,I have enrolled. How do I get access?,"After payment, use your registered email ID to log in and access the course from your dashboard.","post-payment, login"
Enrollment,I have paid. Can you confirm my enrollment?,Please share your order ID or email ID. We will confirm your enrollment and group addition.,"payment confirm, enrollment verify"
Enrollment Process,How long after payment will I be enrolled?,You will be enrolled immediately after we confirm the payment.,"Enrollment, Payment"
Evaluation,When will I get my evaluated test script?,Evaluated scripts are usually shared within 48 hours of submission.,"test script, evaluation, result"
Exam Compatibility,Is this course for Part 1 or Part 2 of FRCPath?,The course you’re referring to is for FRCPath Part 2.,"FRCPath, part 1 vs 2"
Exam Feedback,How was the exam? Was the material useful?,Thank you for checking in. We hope the material helped. Feel free to share any questions asked in the exam.,#feedback #exam
Exam Format Queries,Why was the exam split into 3 parts?,The NEET SS format often includes sectional time limits. This design tests time management and clarity under pressure.,"exam format, sections"
Exam Format Queries,Is it possible to revisit questions in NEET SS after moving ahead?,"No, once you move ahead in section-based exams, you cannot go back. Time management is key.","navigation, exam structure"
Exam Guidance,What is the expected weightage for questions in NEET SS Pathology?,"The exact weightage varies, but we recommend focusing on high-yield topics. Please refer to previous year's papers for better preparation.","NEET SS, Exam Preparation"
Exam Guidance,Can you provide a recall paper for NEET SS Pathology?,We do have some recall papers and will share them with you.,"NEET SS, Exam Papers"
Exam Guidance,Is the NEET SS exam form out?,The dates for the NEET SS exam have been announced. We will update you once the application forms are available on the official website.,"NEET SS, Exam Dates"
Exam Guidance,What is the Neuropath module about?,It is a separate module for INI SS with a detailed collection of Neuropathology questions.,"neuropath, iniss"
Exam Guidance,Do INI SS patterns appear in NEET SS?,NEET SS is unpredictable. Some difficult questions may resemble INI SS patterns.,"neet ss, iniss"
Exam Preparation,What percentage of questions in NEET SS come from general pathology?,"60% from general pathology, histotechniques, hematology, and miscellaneous questions. 40% from oncopath. However, this can change from year to year.","Exam, NEET SS, General Pathology"
Exam Preparation,How should I prioritize my studies for NEET SS?,"Focus on general pathology first, followed by system-wise revision. Brush up on hematology and histotechniques from MD notes.","Exam, NEET SS, Study Tips"
Exam Preparation,Is it necessary to study molecular genetics in detail for NEET SS?,"Some molecular translocations and genetic markers are important, but not all. Focus on high-yield ones like SKT11 for Peutz-Jeghers syndrome.","Exam, Genetics, NEET SS"
Exam Preparation,What topics should I focus on for clinical hematology in NEET SS?,Apply for the medicine group for clinical hematology; topics will cover hematology and related systemic diseases.,"Exam, Clinical Hematology, NEET SS"
Exam Preparation,What is the scope for medical genetics in India?,"Medical genetics is still a new and evolving field, with opportunities in larger hospitals and big cities.","Career, Medical Genetics, India"
Exam Preparation,How much time should I leave for revision before NEET SS?,At least 10-15 days for complete revision of all topics.,"Exam, NEET SS, Revision"
Exam Preparation,Are chromosomal abnormalities important for diagnosing CML?,"Chromosomal abnormalities are crucial, but 2% of CML cases may not show abnormalities. These should be confirmed by RT-PCR before labeling as atypical CML.","Exam, CML, Chromosomal Abnormalities"
Exam Preparation,Can I apply for clinical hematology if I am a pathologist?,"Yes, pathologists can apply for clinical hematology by choosing the medicine group in the NEET SS application.","Exam, Clinical Hematology, Pathologists"
Exam Preparation,How should I prepare for the FRCPATH exam?,"Focus on the provided course materials, take mock exams, and follow a study plan.","Exam Prep, FRCPATH"
Exam Preparation,I’m finding the options tricky even if questions seem simple.,That’s common in FRCPath exams. Focus on understanding subtle differences in options and practice with mocks.,"exam-difficulty, tips"
Exam Preparation,Are EMQs part of the exam?,"Yes, EMQs typically form a part of the exam, but the number may vary.","emqs, exam-format"
Exam Preparation,Any tips before the exam?,Stay calm and revise consistently. Aim to score above 70% in mocks and don’t stress over any one test.,"exam-tips, mock-prep"
Exam Preparation,What is the expected cut-off in FRCPath exams?,It usually ranges from 68-79 out of 125 depending on exam difficulty. Practising to score above 70% is ideal.,"exam-cutoff, strategy"
Exam Preparation,I scored 75/125 in a mock. Is that okay?,That’s a good score. Focus on reviewing topics you missed and keep practicing. Don’t worry about repeated questions.,"mock-score, motivation"
Exam Queries,What is the thyroid AUS malignancy percentage?,Atypia of undetermined significance (AUS) has a malignancy risk of 10%–30%.,"thyroid, statistics, aus"
Exam Queries,BRCA1 is associated with which breast cancer subtype?,"BRCA1 is associated with triple-negative, secretory type breast cancer.","brca1, subtype, triple-negative"
Exam Queries,What were last year’s topper marks?,We are collecting the data and will update you shortly.,"topper, results"
Exam Queries,How many students appeared for the exam?,Approximate data will be provided once confirmed.,"exam, appearance stats"
Exam Queries,What is the chance of selection with 136 attempts and 14 wrong?,"Based on past analysis, there's still a fair chance. Stay optimistic and await the official rank list.","exam attempt, evaluation"
Exam Queries,What were this year’s paper challenges?,Time management due to the 50-50-50 split and a few confusing questions were commonly cited issues.,"feedback, paper analysis"
Exam Strategy,How do I create a study strategy for FRCPATH?,"You should divide your study time across subjects, focus on weak areas, and take regular tests.","Exam Prep, Study Strategy"
Exam Success Tips,How can I ensure I pass the FRCPATH exam?,"Consistent study, mock exams, and review of weak areas will greatly improve your chances of success.","Success Tips, FRCPATH"
Exam-Related Queries,What is the expected cutoff for the FRCPath exam?,The exam cutoff usually ranges between 68-77% based on exam difficulty. Aim to score above 70% for better chances.,"Exam Cutoff, FRCPath"
Exam-Related Queries,Can I expect questions similar to those in your mock tests in the actual FRCPath exam?,"Yes, many questions in the mock tests are designed to be close to the real exam format, though the difficulty may vary.","Exam Preparation, Mock Tests"
Feedback,16. Can I give feedback on the classes I attended?,"Yes, your feedback on the classes you attended is valuable. Please provide your thoughts for future improvements.","Feedback, Course Quality"
Feedback,24. What should I do if I have suggestions or feedback regarding the Q-bank or course materials?,"Please provide your suggestions, and they will be reviewed for potential improvements.","Feedback, Course Improvement"
Feedback,I received the book.,That’s great to hear. All the best for your studies! Let us know your feedback when you're done reading.,"feedback, delivery confirmation"
Feedback,Can I give feedback on the lectures?,"Yes, your feedback is always welcome. Please share any suggestions you may have.","feedback, suggestions"
Feedback,Where can I give feedback about classes?,Please share your feedback via WhatsApp or email. It helps us improve the quality of classes.,"feedback, reviews"
Feedback,Can I share my feedback on the lectures?,Absolutely. We welcome your feedback on which lectures you found most useful.,"feedback, review"
Feedback,How can I provide feedback for the course?,You can share your feedback directly here or fill in the feedback form shared via email/portal.,"feedback, form, suggestion"
Feedback & Follow-Up,Have you received my order?,"Yes, if ordered through the website, we will confirm via WhatsApp and start shipping.",#orderconfirmation
Feedback & Follow-Up,Can I share feedback on the books?,Absolutely! We’d love to hear your thoughts after reviewing the books.,#feedback #review
Feedback & Reviews,The lecture was well-structured.,Thank you for your feedback. We're glad it was helpful!,"feedback, positive"
Feedback & Reviews,The lecture only covered slides with no explanation of core concepts.,Thank you for the honest feedback. We will work on improving conceptual clarity in upcoming lectures.,"feedback, improvement"
Feedback & Reviews,Multiple speakers make it confusing. One good speaker would be better.,Thank you. We’ll consider consolidating delivery to a single speaker for better consistency.,"feedback, speaker"
Feedback & Suggestions,How can I suggest improvements for the platform?,"You can send us feedback directly, and we will work on incorporating your suggestions into the next updates.","Feedback, Suggestions"
Feedback & Suggestions,Can you add a separate tab for the question bank?,Thank you for the suggestion! We'll try to implement this feature in the future updates.,"Feedback, Features"
Feedback Request,Are you open to feedback on course improvements?,"Yes, we value feedback and would love to improve based on your suggestions.","Feedback, Course Improvement"
Flashcard Info,Do you offer printed flashcards for pathology?,"Yes, printed flashcards are included in the hard copy packages.","flashcards, printed"
Flashcard Usage,Are flashcards useful for last-minute revision?,"Yes, flashcards are designed for quick revision and are included with the hardcopy set.","flashcards, revision"
Flashcards & Resources,Where can I access the flashcard for Carney's complex triad?,Here is the link: Carney's Complex Flashcard,"Flashcards, Resources"
Flashcards & Resources,Can I access flashcards for molecular genetics related to bone and soft tissue?,"Here are the flashcards for bone soft tissue and others: link 1, link 2","Flashcards, Genetics"
Follow-up,Any updates on the biopsy we discussed?,Noted. Kindly keep us posted once the biopsy report is available.,#casefollowup #biopsy
Follow-up,Can I get the purchase link and discount code again?,"Sure, we’ll send you the product link along with any active discount codes.",#purchase #discount
Follow-up,Have you received the book?,"Yes, hope it reached you in good condition. Let us know your feedback when convenient.","book-delivery, feedback"
Follow-up,I haven't received my order yet.,We apologize for the delay. Your order has been shipped and tracking details will be shared shortly.,"late delivery, follow-up"
Follow-up Purchase,Can I order General Pathology and Cytology now?,Absolutely. The total discounted amount is ?2500. You can pay via UPI and share your address here to process the order.,"combo order, custom quote"
FRCPath Exam,When can I give the FRCPath exam?,You can give the FRCPath exam during your 2nd year of PG.,"Exam, FRCPath"
FRCPath Exam,When is the next FRCPath exam session?,The next FRCPath exam session will be in September.,"Exam, FRCPath"
FRCPath Exam,How do I apply for the FRCPath exam?,"You can apply through the official website. Once the exam is open for enrollment, we will share the link with you.","Exam, FRCPath"
FRCPath Exam,Where can I find notifications and updates about the exam?,"Notifications and updates can be found on the official FRCPath website, and we will also share the latest news in our WhatsApp group.","Exam, FRCPath"
FRCPath Exam,What is the cost of the FRCPath exam?,The cost of the FRCPath exam depends on the session and location. Please check the official website for the most accurate pricing.,"Exam, FRCPath"
FRCPath Exam,How long should I prepare for the FRCPath exam?,A preparation time of 4 months is generally sufficient if you follow a disciplined study plan and have access to the right resources.,"Exam, FRCPath"
FRCPath Exam,What are the recommended books for FRCPath preparation?,"Recommended books include Natasha’s Quick Reference Handbook, Sternberg’s Surgical Pathology Review, Limci Gupta, and Steele O'Connor’s books.","Exam, FRCPath, Books"
FRCPath Exam,Is the FRCPath exam focused on practical aspects?,"Yes, the exam includes a combination of theoretical and practical aspects like cytology, frozen section, and OSPE (Objective Structured Practical Examination).","Exam, FRCPath, Practical"
FRCPath Exam,Can I enroll for the FRCPath course?,"Yes, the course is open for enrollment. Once you enroll, you will receive access to the course materials and be added to the WhatsApp group for updates.","Course, FRCPath"
FRCPath Exam,How much is the FRCPath course?,"The FRCPath course is priced at $155 USD, including all study materials and access to live sessions.","Course, FRCPath"
Free Resources,Are any free resources provided?,"Yes, we occasionally share free quizzes, tips, and Instagram posts relevant to pathology exams.","free resources, quizzes, Instagram"
General,I am waiting for my salary. Can I buy later?,Absolutely. You can purchase the course anytime when convenient. We’re here to help when you're ready.,#timing #purchase
General,Where can I find links to more questions?,You can find additional MCQs on our website under the MCQ section.,#questionbank #links
General,Do you organize any contests or quizzes?,"Yes, we collaborate with national events. Keep an eye on our announcements for quiz registrations.",#contest #events
General Info,Can I call you for doubts?,"Yes, feel free to call us at 78258 90222 for any assistance.","contact, support"
General Inquiries,How can I contact customer support if I need further assistance?,"You can contact customer support via WhatsApp, email, or the contact form on our website.","Support, Contact"
General Inquiry,How can I contact support if I have any issues?,"You can contact us through WhatsApp, and our support team will assist you.","Support, Contact Information"
General Inquiry,What is the payment process for the courses?,The payment process is simple and can be done through our secure online payment gateway.,"Payment, Process"
General Inquiry,Do you offer any discounts on courses?,"Yes, we provide various discounts, such as the 40% off with the code ""ONLY40.""","Discounts, Coupon Code"
General Inquiry,Is there any certification provided after course completion?,"Yes, you will receive a certificate upon successful completion of the course.","Certification, Course Completion"
General Inquiry,Do let me know if there are any updates on new lectures.,Sure! All updates are posted in your course dashboard and WhatsApp group.,#updates #newcontent
General Inquiry,I got your number from the website. How can I get started?,Welcome! Please let us know your current study needs or exam targets so we can suggest the right course or material for you.,"general-inquiry, getting-started"
General Inquiry,Are the classes suitable for FRCPath Part 2 preparation?,"Yes, our course is designed to comprehensively cover the FRCPath Part 2 exam requirements, including OSPE, theory, and mock cases.","FRCPath, part 2"
General Inquiry,Where can I give feedback about teachers?,You can share your feedback directly here. It helps us improve class planning and scheduling.,"feedback, teachers, class improvement"
General Inquiry,Will I be informed once a new Kindle book is added?,"Yes, we will notify you via WhatsApp or email once the Kindle version becomes available.","new book release, kindle alert"
Grand Mocks,Do you conduct full grand mocks at the end of the course?,"Yes, we conduct two complete grand mocks with discussions.","mock tests, grand test"
Group Access,How do I join the WhatsApp group for my course?,You will receive an invite link after enrollment. Please contact us if you haven't received it.,"group join, invite link"
Hard Copy Books,Can I order a hard copy of a single book?,"Yes, please mention the specific book you are interested in.","books, physical copy"
Hard Copy Notes,Do you provide hard copy notes?,Hard copy notes are available with selected collections. Check this link for availability: Complete FRCPath Part 1 Collection.,"hard copy, print, delivery"
Hard Copy Notes,When will I receive the hard copy notes?,Hard copies are dispatched and delivered within 7 days of enrollment.,"hard copy, shipping, delivery"
Hard Copy Notes,Do I have to pay the full amount for hard copy notes?,We offer discounts on hard copy notes via coupon codes.,"notes, hardcopy, payment"
Hard Copy Notes,Can I download notes instead of buying hard copies?,Online notes are included; hard copies are optional.,"download, notes, softcopy"
Help,I’m confused while using the platform. Can I contact support?,"Yes, feel free to contact us with your query or send a screenshot. We're happy to help.","support, help"
